date,symbol,entry_time,entry_price,entry_method,burst_logic,price_source,signal_pct,post_exit_pct,post_exit_note,entry_rsi,mfe_pct,mae_pct,exit_time,exit_price,exit_reason,stop_loss_used,exit_rsi,qty,pl,pl_pct,list_source,entry_slippage_pct,decision_price,fill_price,exit_slippage_pct
2026-09-24,HON,2026-09-24T13:42:02.412313,212.126923,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,0.513,bounced - exit was early,,0.0109,-0.4511,2026-09-24T13:50:09.793788,211.31,TRAILING_STOP,True,62.42062728497206,13,-10.619999000000035,-0.385110474637867,qqq,0.0221,211.31,,
2026-09-24,CRDO,2026-09-24T13:46:46.819934,194.2,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=5 >= 5, took <= 3 at 0.5x size",tick,,-0.957,kept falling - exit was right,,0.309,-0.139,2026-09-24T13:50:09.956551,194.1775,BREAKEVEN_STOP,False,68.8983606557377,9,-0.20249999999981583,-0.011585993820792758,screener,0.0799,194.1775,,
2026-09-24,SAIL,2026-09-24T13:47:19.843111,21.71,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=7 >= 5, took <= 3 at 0.5x size",tick,,-0.251,kept falling - exit was right,,0.0,-0.8567,2026-09-24T13:50:20.963510,21.524,TRAILING_STOP,True,68.19767441860465,37,-6.881999999999998,-0.8567480423767846,screener,0.486,21.524,,
2026-09-24,IREN,2026-09-24T13:47:19.919297,46.65,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=7 >= 5, took <= 3 at 0.5x size",tick,,-0.886,kept falling - exit was right,,0.0362,-0.7503,2026-09-24T13:51:14.186392,46.3,TRAILING_STOP,True,67.1831637372803,25,-8.750000000000036,-0.7502679528403031,screener,-0.0362,46.3,,
2026-09-24,VICR,2026-09-24T13:47:19.881194,274.904464,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=7 >= 5, took <= 3 at 0.5x size",tick,,-0.859,kept falling - exit was right,,0.0,-0.8692,2026-09-24T13:52:17.689960,272.515,TRAILING_STOP,True,80.74141598298391,5,-11.947320000000161,-0.8691979625329154,screener,0.0034,272.515,,
2026-09-24,TXN,2026-09-24T13:47:08.989420,269.478334,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=10 >= 5, took <= 3 at 0.5x size",tick,,0.257,bounced - exit was early,,0.0,-0.5319,2026-09-24T13:55:12.196353,268.49,TRAILING_STOP,True,69.44444444444443,18,-17.79001200000016,-0.36675824187038686,qqq,0.0662,268.49,,
2026-09-24,MRNA,2026-09-24T13:50:10.660455,183.0,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,0.891,ran further,,1.1448,-0.2787,2026-09-24T13:56:03.544028,185.095,TAKE_PROFIT_1%,False,70.41029661570629,7,14.664999999999992,1.1448087431693983,screener,0.0601,185.095,,
2026-09-24,FSLY,2026-09-24T13:52:07.342174,27.22,RAPID_INCREASE_IMMEDIATE,"normal: burst=1 < threshold 5, full size",tick,,-0.361,gave it back,,1.6532,-0.2204,2026-09-24T13:56:03.709348,27.67,TAKE_PROFIT_1.5%,False,76.86697782963827,128,57.600000000000364,1.6531961792799519,screener,0.1472,27.67,,
2026-09-24,NXPI,2026-09-24T13:48:13.434268,232.6,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=5 >= 5, took <= 3 at 0.5x size",tick,,0.224,bounced - exit was early,,0.0,-0.5073,2026-09-24T13:57:05.475468,231.78,TRAILING_STOP,True,55.29776299879082,21,-17.219999999999857,-0.3525365434221811,qqq,0.1173,231.78,,
2026-09-24,VICR,2026-09-24T13:47:19.881194,274.904464,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=7 >= 5, took <= 3 at 0.5x size",tick,,-0.978,kept falling - exit was right,,,,2026-09-24T14:00:29.060535,270.05,ORPHAN_RECONCILE,False,,3,-14.563392000000022,-1.765873107102403,screener,0.0034,270.05,,
2026-09-24,FIVN,2026-09-24T13:50:21.730977,36.94,RAPID_INCREASE_IMMEDIATE,"normal: burst=1 < threshold 5, full size",tick,,1.222,bounced - exit was early,,0.5956,-0.3113,2026-09-24T14:01:09.774477,36.825,BREAKEVEN_STOP,False,61.34194272880404,34,-3.909999999999826,-0.31131564699511344,screener,0.0542,36.825,,
2026-09-24,MRNA,2026-09-24T13:50:10.660455,183.0,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,0.366,ran further,,1.5574,-0.2787,2026-09-24T14:05:03.815488,185.85,TAKE_PROFIT_1.5%,False,70.41029661570629,12,34.19999999999993,1.5573770491803247,screener,0.0601,185.85,,
2026-09-24,ADSK,2026-09-24T13:50:10.618568,213.58,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,0.206,ran further,,0.3324,-0.3582,2026-09-24T14:07:06.053546,213.64,BREAKEVEN_STOP,False,33.63192726786549,17,1.0199999999995555,0.02809251802602016,qqq,,213.64,,
2026-09-24,NFLX,2026-09-24T13:48:13.398239,71.58,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=5 >= 5, took <= 3 at 0.5x size",tick,,,,,0.2995,-0.0979,2026-09-24T14:11:00.597477,71.5099,TRAILING_STOP,True,25.428137871233446,31,-2.1730999999998915,-0.09793238334729884,qqq,0.007,71.5099,,
2026-09-24,ROST,2026-09-24T13:52:18.040700,234.81,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,,,,0.4812,-0.1192,2026-09-24T14:16:05.334062,235.04,TRAILING_STOP,True,54.698939190198736,25,5.749999999999744,0.09795153528384215,qqq,0.0639,235.04,,
2026-09-24,DRI,2026-09-24T13:42:02.456548,210.71,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",REST,,,,,0.8756,-0.3654,2026-09-24T14:24:11.666796,211.08,MOMENTUM_FADE,False,42.49372984593336,47,17.390000000000214,0.17559679179915738,earnings,0.3668,211.08,,
