trade_id,symbol,date,timestamp,price,gain_pct
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:39.329307-04:00,106.6783,0.0153
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:39.329307-04:00,235.75,-0.3171
CRWD-20260923T13330901088,CRWD,2026-09-23,2026-09-23T09:33:39.329307-04:00,252.256,-0.0676
ZS-20260923T13332590344,ZS,2026-09-23,2026-09-23T09:33:39.329307-04:00,211.12,-0.3446
AXTI-20260923T13332596422,AXTI,2026-09-23,2026-09-23T09:33:39.329307-04:00,76.8,-0.2592
QCOM-20260923T13333290301,QCOM,2026-09-23,2026-09-23T09:33:39.329307-04:00,197.0712,-0.1571
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:42.892147-04:00,106.7051,0.0404
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:42.892147-04:00,235.01,-0.63
ZS-20260923T13332590344,ZS,2026-09-23,2026-09-23T09:33:42.892147-04:00,211.6,-0.118
AXTI-20260923T13332596422,AXTI,2026-09-23,2026-09-23T09:33:42.892147-04:00,76.8,-0.2592
QCOM-20260923T13333290301,QCOM,2026-09-23,2026-09-23T09:33:42.892147-04:00,197.4368,0.0281
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:46.377415-04:00,106.705,0.0403
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:46.377415-04:00,236.32,-0.0761
AXTI-20260923T13332596422,AXTI,2026-09-23,2026-09-23T09:33:46.377415-04:00,76.7417,-0.3349
QCOM-20260923T13333290301,QCOM,2026-09-23,2026-09-23T09:33:46.377415-04:00,197.6232,0.1226
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:49.793379-04:00,106.675,0.0122
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:49.793379-04:00,235.76,-0.3129
AXTI-20260923T13332596422,AXTI,2026-09-23,2026-09-23T09:33:49.793379-04:00,76.7706,-0.2973
QCOM-20260923T13333290301,QCOM,2026-09-23,2026-09-23T09:33:49.793379-04:00,197.4661,0.043
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:53.197724-04:00,106.6902,0.0264
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:53.197724-04:00,235.765,-0.3108
AXTI-20260923T13332596422,AXTI,2026-09-23,2026-09-23T09:33:53.197724-04:00,76.91,-0.1163
QCOM-20260923T13333290301,QCOM,2026-09-23,2026-09-23T09:33:53.197724-04:00,197.39,0.0044
GFS-20260923T13334679272,GFS,2026-09-23,2026-09-23T09:33:53.197724-04:00,47.3331,-0.4352
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:56.500819-04:00,106.645,-0.0159
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:56.500819-04:00,235.765,-0.3108
